Level,Action,Vendor Tracking #,Rebate Name,Rebate Number,Rebate Type,Header - Branch,Header - Performance,Header - Currency,Header - Vendor Name,Header - Billing Vendor Name,Header-Customer,Header - Manufacturer Number,Header - Start Date,Header - End Date,Header - Program Name,Header - Order Start Date,Header - Order End Date,Header - Broker Name,Header - Category Manager,Header - Comments,Product - Type,Product - Number,Product - Description,Product - Percent,Product - Per CS,Product - Per Pound,Product - Per Lbs,Product - Net Cost,Product - Invoice Price,Lumpsum - Fee Type,Lumpsum - Amount,Lumpsum - Branch,Lumpsum - Lumpsum Date,Lumpsum - Lumpsum Start Date,Lumpsum - Lumpsum End Date,Lumpsum - Pay Date,Lumpsum - Cancel,Lumpsum - Lumpsum Item Number,Lumpsum - Lumpsum Item Description,Lumpsum - Quantity,Lumpsum - Lumpsum Billing Frequency,Lumpsum - Warehouse Split,Lumpsum - Recurring Flag,Calendar name,Billing Frequency,Auto Schedule Payments,Lumpsum Payment Method,AR Vendor Name,Finance Contact,Qualifier - Type,Qualifier - Value,Qualifier - Exclude,Deal Date - Type,Deal - Start Date,Deal - End Date,Allowance - Item Allowance
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,33,008,2/16/2026,,,2/16/2026,,3575161,"CAKE, LMN ITAL 2 LAYER 10"" 12 SLI (3575161)",11,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,21,008,2/16/2026,,,2/16/2026,,2885981,"CAKE, MOUSSE CHOC PEANUT BTR (2885981)",14,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,18,008,2/16/2026,,,2/16/2026,,2885981,"CAKE, MOUSSE CHOC PEANUT BTR (2885981)",6,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,3,008,2/16/2026,,,2/16/2026,,2886021,"CAKE, REGAL RED VELVET ICED CRM CHSE (2886021)",2,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,69,008,2/16/2026,,,2/16/2026,,2886021,"CAKE, REGAL RED VELVET ICED CRM CHSE (2886021)",23,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,3,008,2/16/2026,,,2/16/2026,,2384731,"CAKE, SINFUL SEVEN 10"" 16 CUT (2384731)",2,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,15,008,2/16/2026,,,2/16/2026,,2384731,"CAKE, SINFUL SEVEN 10"" 16 CUT (2384731)",5,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,12,008,2/16/2026,,,2/16/2026,,2885951,"CAKE, TORTE CHOC OVERLOAD 10"" 16SLI (2885951)",8,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,57,008,2/16/2026,,,2/16/2026,,2885951,"CAKE, TORTE CHOC OVERLOAD 10"" 16SLI (2885951)",19,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,40.5,008,2/16/2026,,,2/16/2026,,3092981,"CHEESECAKE, NY STYLE 10"" 14 SLI MADISON (3092981)",27,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,3,008,2/16/2026,,,2/16/2026,,3092981,"CHEESECAKE, NY STYLE 10"" 14 SLI MADISON (3092981)",1,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,76.5,008,2/16/2026,,,2/16/2026,,2886031,"CHEESECAKE, NY STYLE 10"" 16 SLI BROADWAY (2886031)",51,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,93,008,2/16/2026,,,2/16/2026,,2886031,"CHEESECAKE, NY STYLE 10"" 16 SLI BROADWAY (2886031)",31,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,30,008,2/16/2026,,,2/16/2026,,4939151,"CHEESECAKE, SSRV ASSORT PETITE BITE FZN (4939151)",20,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,120,008,2/16/2026,,,2/16/2026,,4939151,"CHEESECAKE, SSRV ASSORT PETITE BITE FZN (4939151)",40,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,470,008,2/16/2026,,,2/16/2026,,4811821,"COFFEE, ESPRESSO WB 5LB (4811821)",94,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,150,008,2/16/2026,,,2/16/2026,,4811821,"COFFEE, ESPRESSO WB 5LB (4811821)",15,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,55,008,2/16/2026,,,2/16/2026,,0007444,"COFFEE, ORGANIC SERENADE 5LB (0007444)",11,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,10,008,2/16/2026,,,2/16/2026,,0007444,"COFFEE, ORGANIC SERENADE 5LB (0007444)",1,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,230,008,2/16/2026,,,2/16/2026,,4811991,"COFFEE, WB CROSSROADS 5LB (4811991)",46,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,20,008,2/16/2026,,,2/16/2026,,4811991,"COFFEE, WB CROSSROADS 5LB (4811991)",2,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,110,008,2/16/2026,,,2/16/2026,,4811881,"COFFEE, WB ORGANIC FRENCH RST 5LB (4811881)",22,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,20,008,2/16/2026,,,2/16/2026,,4811881,"COFFEE, WB ORGANIC FRENCH RST 5LB (4811881)",2,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,365,008,2/16/2026,,,2/16/2026,,4811871,"COFFEE, WB REMINISCING 5LB (4811871)",73,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,10,008,2/16/2026,,,2/16/2026,,4811871,"COFFEE, WB REMINISCING 5LB (4811871)",1,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502360,00502360,,,1/28/2026,2/28/2026,Shamrock Beverage Manufacturing Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,280,008,2/16/2026,,,2/16/2026,,4812021,"COFFEE, WB SONGBIRD 5LB (4812021)",56,,,,Calendar Year,Daily,Y,AR Invoice,77879,mark_dibert@shamrockfoods.com;porter_jenson@shamrockfoods.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,30,008,2/16/2026,,,2/16/2026,,2886051,"DESSERT BAR, ASSORT CARAMEL DECADENCE (2886051)",20,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,39,008,2/16/2026,,,2/16/2026,,2886051,"DESSERT BAR, ASSORT CARAMEL DECADENCE (2886051)",13,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,19.5,008,2/16/2026,,,2/16/2026,,2886011,"DESSERT BAR, LOVIN LEMON UNSLI FZN (2886011)",13,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502329,00502329,,,1/28/2026,2/28/2026,Diannes Fine Desserts Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,45,008,2/16/2026,,,2/16/2026,,2886011,"DESSERT BAR, LOVIN LEMON UNSLI FZN (2886011)",15,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@diannesfinedesserts.com,,,,,,,
,,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00502902,00502902,,,1/28/2026,2/28/2026,Fineline Settings Inc Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,3,008,2/16/2026,,,2/16/2026,,3512951,"FORK, SERVING 10"" PLATTER PLEASERS BLK (3512951)",4,,,,Calendar Year,Daily,Y,AP Debit Memo,,ar@finelinesettings.com,,,,,,,
,,Sterno Holiday Promotion (11/9/25-12/13/25) Existing Business,Sterno Holiday Promotion (11/9/25-12/13/25) Existing Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00110735,00110735,,,1/28/2026,2/28/2026,Sterno Holiday Promotion (11/9/25-12/13/25) Existing Business,,,,,,,,,,,,,,,Flat Fee,37.5,008,2/16/2026,,,2/16/2026,,4499411,"FUEL, CHAFER CAN GEL METHANOL 2HR 6.84Z (4499411)",75,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@sternoproducts.com,,,,,,,
,,Sterno Holiday Promotion (11/9/25-12/13/25) New Business,Sterno Holiday Promotion (11/9/25-12/13/25) New Business,,Marketing Spiff (MSP),999,Corporate Program,USD,00110735,00110735,,,1/28/2026,2/28/2026,Sterno Holiday Promotion (11/9/25-12/13/25) New Business,,,,,,,,,,,,,,,Flat Fee,26,008,2/16/2026,,,2/16/2026,,4499411,"FUEL, CHAFER CAN GEL METHANOL 2HR 6.84Z (4499411)",26,,,,Calendar Year,Daily,Y,AP Debit Memo,,AR@sternoproducts.com,,,,,,,
